index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
400,aguimes,27.9054,-15.4461,70.43,68,20,20.71,ES,1627955080
401,yara,20.2753,-76.9533,75.92,89,100,5.39,CU,1627955082
402,prince rupert,54.3161,-130.3201,64.09,71,40,4.61,CA,1627954892
403,reshetylivka,49.565,34.0782,65.23,90,64,6.78,UA,1627955084
404,santa fe,-31.6333,-60.7,54.01,68,0,6.46,AR,1627955086
405,nikolayevsk-na-amure,53.1406,140.73,53.92,95,100,5.88,RU,1627955087
407,tigil,57.8,158.6667,53.33,62,72,16.87,RU,1627954217
408,la rioja,42.25,-2.5,56.05,76,14,4.54,ES,1627955091
409,ukiah,39.1502,-123.2078,94.51,13,1,4.61,US,1627955093
411,walvis bay,-22.9575,14.5053,58.15,88,0,9.22,NA,1627955051
412,pushkino,56.0172,37.8667,66.99,88,7,4,RU,1627955097
413,kaduqli,11.0167,29.7167,70.03,94,94,4.52,SD,1627955099
414,indramayu,-6.3264,108.32,83.64,63,36,7.78,ID,1627955100
415,pochutla,15.7432,-96.4661,83.25,86,100,4.14,MX,1627955102
417,muli,2.9167,73.5667,81.99,69,90,2.55,MV,1627955104
418,manaus,-3.1019,-60.025,79.29,83,0,3.44,BR,1627954873
419,lebu,-37.6167,-73.65,51.39,86,29,16.75,CL,1627955107
420,bonthe,7.5264,-12.505,75.69,77,24,4.83,SL,1627955109
421,methven,-43.6333,171.65,47.01,63,99,1.01,NZ,1627955110
422,price,39.5994,-110.8107,79.86,31,20,10.36,US,1627955112
423,aljustrel,37.8776,-8.1652,64.27,75,56,5.41,PT,1627955113
424,paciran,-6.8767,112.3761,83.19,69,7,4.54,ID,1627955115
425,bambous virieux,-20.3428,57.7575,59.25,88,20,8.05,MU,1627955116
426,paso de carrasco,-34.8603,-56.0522,35.74,100,0,0,UY,1627955006
427,rossosh,51.1209,38.5116,66.81,87,98,4.52,RU,1627955119
428,sinnamary,5.3833,-52.95,78.17,80,89,5.79,GF,1627955121
429,klyuchi,52.2667,79.1667,75.36,45,38,9.93,RU,1627955122
430,awjilah,29.1081,21.2869,85.75,25,0,7.27,LY,1627955124
431,gunjur,13.2019,-16.7339,75.27,94,75,13.8,GM,1627955125
432,batagay-alyta,67.8006,130.4114,71.38,26,0,6.17,RU,1627955127
433,augusto correa,-1.0217,-46.635,73.31,89,21,1.01,BR,1627955128
434,teknaf,20.8624,92.3058,79.81,88,95,4.85,BD,1627955130
435,paamiut,61.994,-49.6678,43.61,96,100,5.66,GL,1627955131
437,umm lajj,25.0213,37.2685,89.37,40,4,4.03,SA,1627955134
438,daultala,33.1925,73.1413,82.62,69,40,8.55,PK,1627955135
439,omsukchan,62.5333,155.8,36.82,94,100,7.56,RU,1627955137
441,mufumbwe,-13.6833,24.8,50.59,54,0,4.97,ZM,1627955140
442,pahrump,36.2083,-115.9839,102.83,14,1,3,US,1627954902
443,bethel,41.3712,-73.414,71.49,80,75,3.44,US,1627955143
444,arcachon,44.5875,-1.0519,57.52,94,0,2.3,FR,1627955144
445,antalaha,-14.9003,50.2788,63.95,87,0,5.26,MG,1627955146
446,ambatofinandrahana,-20.55,46.8,48.7,77,0,3.13,MG,1627955147
447,ekhabi,53.5102,142.9671,56.39,82,100,12.26,RU,1627955149
448,san cristobal,7.7669,-72.225,75.38,96,100,4.68,VE,1627955150
449,lardos,36.0942,28.0157,89.42,43,0,8.75,GR,1627955152
451,kuna,43.4918,-116.4201,93.02,34,1,3,US,1627955154
452,sable-sur-sarthe,47.8376,-0.3329,61.05,96,100,4.41,FR,1627955156
453,olafsvik,64.8945,-23.7142,52.5,78,100,5.32,IS,1627955142
454,bilma,18.6853,12.9164,91.38,19,1,12.35,NE,1627955159
455,port hardy,50.6996,-127.4199,64.58,63,20,10.36,CA,1627955160
456,joshimath,30.5667,79.5667,75,75,24,1.66,IN,1627955162
457,vila,42.0304,-8.1588,56.34,88,100,3.83,PT,1627955163
458,polur,12.5,79.1333,82.65,55,98,7.29,IN,1627955165
460,udine,46.0619,13.2422,65.68,83,17,6.4,IT,1627955168
461,shinshiro,34.9,137.5,87.46,75,100,10.94,JP,1627954954
462,ola,59.5833,151.2833,57.6,45,6,13.56,RU,1627955170
463,poum,-20.2333,164.0167,69.82,63,0,7.4,NC,1627955172
464,chake chake,-5.2459,39.7666,71.53,84,83,7.02,TZ,1627955173
465,nardaran,40.5561,50.0056,69.44,94,0,4.61,AZ,1627955175
466,bilibino,68.0546,166.4372,38.57,64,100,12.57,RU,1627955176
467,moron,-34.6534,-58.6198,53.35,95,0,1.99,AR,1627955178
468,san miguel,13.4833,-88.1833,87.46,70,40,3.44,SV,1627955179
470,meadow lake,34.8014,-106.5436,82.47,45,37,3.47,US,1627955182
471,lander,42.833,-108.7307,85.06,30,20,4.61,US,1627955184
472,tirumullaivasal,11.2333,79.8333,83.21,63,98,10.11,IN,1627955185
473,diego de almagro,-26.3667,-70.05,57.76,47,0,2.28,CL,1627955187
474,fare,-16.7,-151.0167,78.93,74,55,13.58,PF,1627955188
475,winneba,5.3511,-0.6231,77.47,93,96,6.6,GH,1627955190
476,plyussa,58.4308,29.3654,55.56,97,81,9.84,RU,1627955191
477,aranos,-24.1333,19.1167,52.66,36,0,11.63,NA,1627955193
478,strezhevoy,60.7333,77.5889,58.98,94,100,2.46,RU,1627955195
479,batemans bay,-35.7167,150.1833,62.91,44,5,13.29,AU,1627955196
480,the valley,18.217,-63.0578,82.26,75,2,14.09,AI,1627955199
481,invermere,50.5167,-116.0354,73.99,71,100,1.52,CA,1627954940
482,amol,36.4696,52.3507,75.67,79,38,3.62,IR,1627955201
483,lasa,46.6166,10.7002,58.08,93,99,2.01,IT,1627955203
484,vila franca do campo,37.7167,-25.4333,66.61,83,0,4.99,PT,1627955204
485,el estor,15.5333,-89.35,75.94,93,76,1.72,GT,1627955206
487,cascais,38.6979,-9.4215,66.06,76,89,11.01,PT,1627955209
488,bolkhov,53.4433,36.0044,60.28,96,15,8.05,RU,1627955210
489,bajina basta,43.9708,19.5675,63.34,100,0,1.14,RS,1627955212
490,eyl,7.9803,49.8164,80.29,54,22,27.36,SO,1627955213
491,kyshtovka,56.555,76.6271,59.92,94,98,6.4,RU,1627955215
492,coquimbo,-29.9533,-71.3436,55.13,87,90,4.61,CL,1627955216
493,ampanihy,-24.7,44.75,64.63,64,67,6.69,MG,1627955218
494,salalah,17.0151,54.0924,77.09,100,90,8.05,OM,1627955126
495,lanzhou,36.0564,103.7922,63.68,89,100,8.9,CN,1627955221
496,konibodom,40.2843,70.4426,76.77,32,6,5.82,TJ,1627955222
497,lavrentiya,65.5833,-171,45.27,99,100,7.65,RU,1627955167
498,solnechnyy,50.7214,136.6319,65.28,76,98,7.45,RU,1627955225
499,taltal,-25.4,-70.4833,58.46,78,1,2.91,CL,1627955226
500,payo,-3.7508,103.6372,81.32,71,91,2.19,ID,1627955228
501,chuy,-33.6971,-53.4616,48.04,95,0,5.17,UY,1627955229
502,comodoro rivadavia,-45.8667,-67.5,53.46,28,0,17.27,AR,1627955165
504,sao miguel do araguaia,-13.275,-50.1628,72.97,34,17,6.89,BR,1627955233
505,takoradi,4.8845,-1.7554,75.54,90,96,4.85,GH,1627955235
506,mizdah,31.4451,12.9801,77.31,35,0,7.2,LY,1627955236
507,hualmay,-11.0964,-77.6139,64.09,82,14,11.63,PE,1627955238
508,arlit,18.7369,7.3853,89.06,37,99,11.54,NE,1627955239
509,nhulunbuy,-12.2333,136.7667,84.81,58,40,12.66,AU,1627955241
510,clyde river,70.4692,-68.5914,34.03,100,90,6.91,CA,1627955242
511,aykhal,66,111.5,73.67,40,86,18.07,RU,1627955244
513,sabang,5.8933,95.3214,83.12,75,100,20.38,ID,1627955247
514,lompoc,34.6391,-120.4579,83.79,70,1,12.66,US,1627955248
515,avera,33.194,-82.5271,83.71,50,100,3.31,US,1627955250
516,cotonou,6.3654,2.4183,78.78,89,40,13.8,BJ,1627955251
517,aitape,-3.1374,142.3475,87.48,63,56,8.39,PG,1627955253
518,mazagao,-0.115,-51.2894,80.65,81,64,2.44,BR,1627955254
519,moose factory,51.2585,-80.6094,53.6,82,90,10.36,CA,1627955256
520,jumla,29.2747,82.1838,64.49,94,99,0.83,NP,1627955257
521,santa rosa,14.3122,121.1114,88.09,71,100,18.57,PH,1627955259
522,guiratinga,-16.3494,-53.7583,68.67,37,23,2.77,BR,1627955260
523,constitucion,-35.3333,-72.4167,53.13,65,0,5.21,CL,1627955262
524,ponta delgada,37.7333,-25.6667,66.92,82,20,9.22,PT,1627955263
525,myitkyina,25.3833,97.4,81.86,81,56,1.48,MM,1627955265
527,rizhao,35.4275,119.4553,81.1,75,2,7.83,CN,1627955268
528,cururupu,-1.8283,-44.8683,71.91,82,5,1.81,BR,1627955269
529,bubaque,11.2833,-15.8333,78.93,82,43,14.14,GW,1627955271
530,epe,6.5841,3.9834,74.03,94,100,1.95,NG,1627955272
531,ila,63.4305,10.3705,50.95,83,61,1.16,NO,1627955274
532,belaya gora,68.5333,146.4167,58.75,34,15,8.97,RU,1627955275
533,sola,-13.8833,167.55,75.29,57,100,11.81,VU,1627955277
535,kahului,20.8947,-156.47,84.22,63,40,27.63,US,1627955280
536,boa vista,2.8197,-60.6733,76.98,88,0,4.61,BR,1627955281
537,pingzhuang,42.0372,119.2889,74.68,67,9,5.97,CN,1627955283
538,palafrugell,41.9174,3.1631,68.72,64,4,3.96,ES,1627955284
541,kloulklubed,7.0419,134.2556,84.7,78,100,13.82,PW,1627955288
542,varzea grande,-15.6467,-56.1325,76.87,41,0,5.75,BR,1627955290
543,taoudenni,22.6783,-3.9836,97.02,23,78,7.72,ML,1627955291
545,asosa,10.0667,34.5333,59.86,89,100,1.86,ET,1627955294
546,raton,36.9034,-104.4391,71.94,59,1,8.05,US,1627955296
547,umm kaddadah,13.6017,26.6876,79.36,65,78,13.4,SD,1627955239
548,saint-jean-de-maurienne,45.1667,6.5833,40.69,91,18,1.97,FR,1627955298
549,marawi,7.9986,124.2928,80.26,63,99,7.99,PH,1627955300
550,qaqortoq,60.7167,-46.0333,48.7,97,100,3.91,GL,1627955301
551,vostok,46.4856,135.8833,73.8,83,97,2.24,RU,1627955303
552,mbandaka,0.0487,18.2603,69.64,80,95,2.46,CD,1627955304
553,kidal,18.4411,1.4078,86.07,44,100,3.29,ML,1627955306
554,muroto,33.2833,134.15,86.04,71,76,3.85,JP,1627955308
555,abu samrah,35.3029,37.1841,77.9,46,0,6.91,SY,1627955309
558,martinsburg,39.4562,-77.9639,70.11,71,1,0,US,1627955313
559,labuan,5.2767,115.2417,82.76,78,20,8.99,MY,1627955315
560,karasjok,69.4719,25.5112,35.71,73,94,5.61,NO,1627955316
561,ardesen,41.1911,40.9875,75.16,82,61,2.59,TR,1627955318
562,nakamura,32.9833,132.9333,87.12,63,12,6.22,JP,1627955319
563,ust-kuyga,70.0167,135.6,70.18,31,57,4.94,RU,1627955321
564,santa cruz,-17.8,-63.1667,65.66,42,0,6.91,BO,1627955322
565,jacareacanga,-6.2222,-57.7528,80.24,49,55,2.46,BR,1627955324
566,alice springs,-23.7,133.8833,54.95,38,0,17.27,AU,1627955325
567,sorong,-0.8833,131.25,85.68,64,79,4.88,ID,1627955327
568,kodiak,57.79,-152.4072,56.62,80,5,6.51,US,1627955328
569,naryan-mar,67.6713,53.087,51.78,84,34,3.6,RU,1627955330
570,miyako,39.6367,141.9525,86.43,67,97,9.89,JP,1627955331
571,biograd na moru,43.9433,15.4519,72.75,51,52,4.25,HR,1627955333
573,kapoeta,4.7717,33.5903,70.95,63,54,1.01,SS,1627955336
575,ulladulla,-35.35,150.4667,63.88,50,6,14.83,AU,1627955095
576,sechura,-5.5569,-80.8222,65.91,78,12,11.03,PE,1627955340
577,nantucket,41.2835,-70.0995,69.96,87,1,4.61,US,1627955307
578,surt,31.2089,16.5887,82.22,73,0,7.65,LY,1627955342
579,newport,51.5877,-2.9984,55.63,90,3,4.9,GB,1627955175
580,chicama,-7.8447,-79.1469,63.14,79,3,7.29,PE,1627955345
581,nicoya,10.1483,-85.452,74.75,93,100,3.44,CR,1627955347
583,brae,60.3964,-1.353,49.91,72,100,1.3,GB,1627955350
584,udachnyy,66.4167,112.4,76.23,36,100,16.67,RU,1627955351
585,cuamba,-14.8031,36.5372,54.5,59,0,2.93,MZ,1627955353
586,kuala terengganu,5.3302,103.1408,80.55,89,20,3.44,MY,1627955354
587,aksay,47.26,39.87,66.42,36,5,2.48,RU,1627955356
588,abay,49.6311,72.8539,64.78,48,3,12.46,KZ,1627955357
589,berlevag,70.8578,29.0864,47.77,81,43,6.04,NO,1627955190
590,lakes entrance,-37.8811,147.981,57.18,68,88,12.73,AU,1627955360
591,rio grande,-32.035,-52.0986,49.95,96,0,7.18,BR,1627955284
592,fochville,-26.4886,27.4939,48.22,36,0,6.64,ZA,1627955363
593,balkhash,46.844,74.9804,79.41,34,0,15.66,KZ,1627955364
594,zhuanghe,39.7008,122.9911,79.9,72,1,5.79,CN,1627955366
597,gilbert,33.3528,-111.789,109.51,22,20,1.01,US,1627955107
598,hazorasp,41.3194,61.0742,73.24,20,0,9.28,UZ,1627955371
600,hauterive,46.0901,3.4459,58.78,88,77,4.81,FR,1627955374
601,victor harbor,-35.5667,138.6167,55.72,72,68,20.47,AU,1627955375
602,padang,-0.9492,100.3543,82.96,68,67,1.54,ID,1627955377
603,vicuna,-30.0319,-70.7081,47.93,23,0,1.48,CL,1627955141
604,vila do maio,15.1333,-23.2167,77.63,80,71,6.51,CV,1627955380
605,erzin,36.9559,36.2,84,81,3,1.28,TR,1627955381
606,tandil,-37.3217,-59.1332,47.3,71,0,1.99,AR,1627955383
607,buala,-8.145,159.5921,81.14,79,84,6.35,SB,1627955384
608,nanhai,30.1282,111.7784,86.86,74,3,11.12,CN,1627955386
609,alekseyevsk,57.8406,108.3492,61.48,77,100,1.59,RU,1627955387
610,faya,18.3851,42.4509,64.51,61,99,7.65,SA,1627955389
613,skjervoy,70.0311,20.9714,48.47,77,92,6.04,NO,1627955393
